level,name,duration,range,component,cast_time,desc,class
0,Blade Ward,1 action,Self,VS,1 round, You extend your hand and trace a sigil of warding in the air. Until the end of your next turnyou have resistance against bludgeoningpiercingand slashing damage dealt by weapon attacks.,Bard
0,Dancing Lights,1 action,120 feet,VSM ,Concentrationup to 1 minute,You create up to four torch-sized lights within rangemaking them appear as torcheslanternsor glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you chooseeach light sheds dim light in a 10-foot radius. As a bonus action on your turnyou can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spelland a light winks out if it exceeds the spell's range.,Bard
0,Friends,1 action,Self,SM ,Concentrationup to 1 minute, For the durationyou have advantage on all Charisma checks directed at one creature of your choice that isn't hostile toward you. When the spell endsthe creature realizes that you used magic to influence its mood and becomes hostile toward you. A creature prone to violence might attack you. Another creature might seek retribution in other ways (at the DM's discretion)depending on the nature of your interaction with it.,Bard
0,Light,1 action,Touch,VM ,1 hour, You touch one object that is no larger than 10 feet in any dimension. Until the spell endsthe object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light cant be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action. If you target an object held or worn by a hostile creaturethat creature must succeed on a Dexterity saving throw to avoid the spell.,Bard
0,Mage Hand,1 action,30 feet,VS,1 minute, A spectralfloatin hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again. You can use your action to control the hand. You can use the hand to manipulate an objectopen an unlocked foor or containerstow or retrieve an item from an open containeror pour the contents out of a vial. You can move the hand up to 30 feet each time you use it. The hand can't attackactivate magical itemsor carry more than 10 pounds.,Bard
0,Mending,1 minute,Touch,VSM ,Instantaneous,This spell repairs a single break or tear in an object you touchsuch as broken chain linktwo halves of a broken keya torn cloackor a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimensionyou mend itleaving no trace of the former damage. This spell can physically repair a magic item or constructbut the spell can't restore magic to such an object.,Bard
0,Message,1 action,120 feet,VSM ,1 round,You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear. You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood blocks the spell. The spell doesn't have to follow a straight line and can travel freely around corners or through openings.,Bard
0,Minor Illusion,1 action,30 feet,SM ,1 minute,You create a sound or an image of an object within range that lasts for the duration. The illusion also ends if you dismiss it as an action or cast this spell again. If you create a soundits volume can range from a whisper to a scream. It can be your voicesomeone else's voicea lion's roara beating of drumsor any other sound you choose. The sound continues unabated throughout the durationor you can make discrete sounds at different times before the spell ends. If you create an image of an object??uch as a chairmuddy footprintsor a small chest??t must be no larger than a 5-foot cube. The image can't create soundlightsmellor any other sensory effect. Physical interaction with the image reveals it to be an illusionbecause things can pass through it. If a creature uses its action to examine the sound or imagethe creature can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it isthe illusion becomes faint to the creature.,Bard
0,Prestidigitation,1 action,10 feet,VS,Up to 1 hour, This spell is a minor magical trick that novice spellcasters use for practice. You create one of the following magical effects within range:  ??  You create an instantaneousharmless sensory effectsuch as a shower of sparksa puff of windfaint musical notesor an odd odor.  ??  You instantaneously light or snuff out a candlea torchor a small campfire.  ??  You instantaneously clean or soil an object no larger than 1 cubic foot.  ??  You chillwarmor flavor up to 1 cubic foot of nonliving material for 1 hour.  ??  You make a colora small markor a symbol appear on an object or a surface for 1 hour.  ??  You create a nonmagical trinket or an illusory image that can fit in your hand and that lasts until the end of your next turn. If you cast this spell multiple timesyou can have up to three of its non-instantaneous effects active at a timeand you can dismiss such an effect as an action.,Bard
0,True Strike,1 action,30 feet,S,Concentrationup to 1 round, You extend your hand and point a finger at a target in range. Your magic grants you a brief insight into the target's defenses. On your next turnyou gain advantage on your first attack roll against the targetprovided that this spell hasn't ended.,Bard
0,Vicious Mockery,1 action,60 feet,V,Instantaneous,   You unleash a string of insults laced with subtle enchantments at a creature you can see within range. If the target can hear you (thought it need not understand you)it must succeed on a Wisdom saving throw or take 1d4 psychic damage and have disadvantage on the next attack roll it makes before the end of its next turn.   This spell's damage increases by 1d4 when you reach 5th level (2d4)11th level (3d4) and 17th level (4d4),Bard
1,Animal Friendship,1 action,30 feet,VSM ,24 hours,(a morsel of food) This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higherthe spell fails. Otherwisethe beast must succeed on a Wisdom saving throw or be charmed by you fo rhte spell's duration. If you or one of your companions harms the targetthe spell ends. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can affect one additional beast for each slot level above 1st.,Bard
1,Bane,1 action,30 feet,VSM ,Concentrationup to 1 minute,(a drop of blood) Up to three creatures of your choice that you can see within range must make Charisma saving throws. Whener a target that fails this saving throw makes an attack roll or a saving throw before the spell endsthe target must roll a d4 and subtract the number rolled from the attack roll or saving throw. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can target one aditional creature for each slot level above 1st.,Bard
1,Charm Person,1 action,30 feet,VS,1 hour, You attempt to charm a humanoid you can see within range. It must make a Wisdom saving throwand does so with advantage if you or your companions are fighting it. If it fails the saving throwit is charmed by you until the spell ends or until you  or your companions do anything harmful to it.The charmed creature regards you as a friendly acquaintance. When the spell endsthe creature knows it was charmed by you. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can target one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.,Bard
1,Comprehend Languages (Ritual),1 action,Self,VSM ,1 hour,(a pinch of soot and salt) For the durationyou understand the literal meaning of any spoken language that you hear. You also understand any spoken language that you hear. You also understand any written language that you seebut you must be touching the surface of which the words are written. It takes about 1 minute to read one page of text.  This spell doesn't decode secret messages in a text or glyphsuch as an arcane sigilthat isn't part of a written language. ,Bard
1,Cure Wounds,1 action,Touch,VS,Instantaneous, A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe healing increases by 1d8 for each slot level above 1st.,Bard
1,Detect Magic (Ritual),1 action,Self,VS,Concentrationup to 10 minutes, For the durationyou sense the presence of magic within 30 feet of you. If you sense magic in this wayyou can use your action to see a faint aura around any visible creature or object in the area that bears magicand you learn its school of magicif any. The spell can penetrate most barriersbut is blocked by 1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood or dirt.,Bard
1,Disguise Self,1 action,Self,VS,1 hour, You make yourself??ncluding your clothingarmorweaponsand other belongings on your person??ook different until the spell ends or until you use your action to dismiss it. You can seem  1 foot shorter or taller and can appear thinfator in between. You can't change your body typeso you must adopt a form that has the same basic arrangement of limbs. Otherwisethe extent of the illusion is up to you. The changes wrought by this spell fail to hold up to physical inspection. For exampleif you use this spell to add a hat to your outfitobjects pass through the hatand anyone who touches it would feel nothing or would feel your head and hair. If you use this spell to appear thinner than you arethe hand of som eone who reaches out to touch you would bump into you while it was seemingly still in midair. To discern that you are disguiseda creature can use its action to inspect your appearance and must succeed on an Intelligence (Investigation) check against your spell save DC.,Bard
1,Dissonant Whispers,1 action,60 feet,V,Instantaneous, You whisper a discordant melody that only one creature of your choice within range can hearwracking it with terrible pain. The target must make a Wisdom saving throw. On a failed saveit takes 3d6 psychic damage and must immediately use its reactionif availableto move as far as its speed allows away from you. The creature doesn't move into obviously dangerous groundsuch as a fire or a pit. On a successful savethe target takes half as much damage and doesn't have to move away. A deafened creature automatically succeeds on the save. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe damage increases by 1d6 for each slot level above 1st.,Bard
1,Faerie Fire,1 action,60 feet,V,Concentrationup to 1 minute, Each object in a 20-foot cube within range is outlined in bluegreenor violet light (your choice). Any creature in the area when the spell is cast is also outlined in light if it fails a Dexterity saving throw. For the durationobjects and affected creatures shed dim light in a 10-foot radius. Any attack roll against an affected creature or object has advantage if the attacker can see itand the affected creature or object can't benefit from being invisible.,Bard
1,Feather Fall,1 reaction,60 feet,VM ,1 minute,(a small feather or piece of down) Reaction: When you or a creature within 60 feet of you falls Choose up to five falling creatures within range. A falling creature's rate of descent slows to 60 feet per round until the spell ends. If the creature lands before the spell endsit takes no falling damage and can land on its feetand the spell ends for that creature.,Bard
1,Healing Word,1 bonus action,60 feet,V,Instantaneous, A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on unddead or constructs. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe healing increases by 1d4 for each slot level above 1st.,Bard
1,Heroism,1 action,Touch,VS,Concentrationup to 1 minute, A willing creature you touch is imbued with bravery. Until the spell endsthe creature is immune to being frightened and gains temporary hit points equal to your spellcasting ability modifier at the start of each of its turns. When the spell endsthe target loses any remaining temporary hit points from this spell. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can target one additional creature for each slot level above 1st.,Bard
1,Identify (Ritual),1 minute,Touch,VSM ,Instantaneous,(a pearl worth at least 100 gp and an owl feather) You choose one object that you must touch throughout the casting of the spell. If it is a magic item or some other magic-imbued objectyou learn its properties and how to use themwhether it requires attunement to useand how many charges it hasif any. You learn whether any spells are affecting the item and what they are. If the item was created by a spellyou learn which spell created it. If you instead touch a creature throughout the castingyou learn what spellsif anyare currently affecting it.,Bard
1,Illusory Script (Ritual),1 minute,Touch,SM ,10 days,(a lead-based ink worth at least 10 gpwhich the spell consumes) You write on parchmentpaperor some other suitable writing material and imbue it with a potent illusion that lasts for the duration. To you and any creatures you designate when you cast the spellthe writing appears normalwritten in your handand conveys whatever meaning you intended when you wrote the text. To all othersthe writing appears as if it were written in an unknown or magical script that is unintelligible. Alternativelyyou can cause the writing to appear to be an entirely different messagewritten in a different hand and languagethough the language must be one you know. Should the spell be dispelledthe original script and the illusion both disappear. A creature with truesight can read the hidden message.,Bard
1,Longstrider,1 action,Touch,VSM ,1 hour,(a pinch of dirt) You touch a creature. The target's speed increases by 10 feet until the spell ends. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can target one additional creature for each slot level above 1st.,Bard
1,Silent Image,1 action,60 feet,VSM ,Concentrationup to 10 minute,(a bit of fleece) You create the image of an objecta creatureor some other visible phenomenon that is no larger than a 15-foot cube. The image appears at a spot within range and lasts for the duration. The image is purely visualit isn't accompanied by soundsmellor other sensory effects. You can use your action to cause the image to move to any spot within range. As the image changes locationyou can alter its appearance so that its movements appear natural for the image. For exampleif you create an image of a creature and move ityou can alter the image so that it appears to be walking. Physical interaction with the image reveals it to be an illusionbecause things can pass through it. A creature that uses its action to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it isthe creature can see through the image.,Bard
1,Sleep,1 action,90 feet,VSM ,1 minute,(a pinch of find sandrose petalsor a cricket) This spell sends creatures into a magical slumber. Roll 5d8the total is how many hit points of creatures this spell can affect. Creatures within 20 feet ofa point you choose within range are affected in ascending order of their current hit points (ignoring unconscious creatures). Starting with the creature that has the lowest current hit pointseach creature affected by this spell falls unconscious until the spell endsthe sleeper takes damageor someone uses an action to shake or slap the sleeper awake. Subtract each creature's hit points from the total before moving on to the creature with the next lowest hit points. A creature's hit points must be equal to or less than the remaining total for that creature to be affected. Undead and creatures immune to being charmed aren't affected by this spell. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherroll an additional 2d8 for each slot level above 1st.,Bard
1,Speak with Animals (Ritual),1 action,Self,VS,10 minutes, You gain the ability to comprehend and verbally communicate with beasts for the duration. The knowledge and awareness of many beasts is limited by their intelligencebut at minimumbeasts can give you information about nearby locations and monstersincluding whatever they can perceive or have perceived within the past day. You might be able to persuade a beast to perform a small favor for youat the DM's discretion.,Bard
1,Tasha's Hideous Laugher,1 action,30 feet,VSM,Concentrationup to 1min,(tiny tarts and a feather that waved in the air) A creature of your choise that you can see within range perceives everything as hilariously funne and falls into fits of laugher if this spell affects it. The target must succeed on a Wisdom saving throw of fall pronebecoming incapacitated and unable to stabd up for the duration. A creature with an Intelligence score of 4 or less isn't affected.<br>At the end of each of its turnsand each time it takes damagethe target can make another Wisdom saving throw. The target has advantage on the saving throw if it's triggered by damage. On a successthe spell ends.,Bard
1,Thunderwave,1 action,Self (15-foot cube),VS,Instantaneous, A wave of thunderous force sweeps out from you. Each creature in a 15-foot cube originating from you must make a Constitution saving throw. On a failed savea creature takes 2d8 thunder damage and is pushed 10 feet away from you. On a successful savethe creature takes half as much damage and isn't pushed. In additionunsecured objects that are completely within the area of effect are automatically pushed 10 feet away from you by the spell's effectand the spell emits a thunderous boom audible out to 300 feet. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe damage increases by 1d8 for each slot level above 1st.,Bard
1,Unseen Servant (Ritual),1 action,60 feet,VSM ,1 hour,(a piece of string and a bit of wood) This spell creates an invisiblemindlessshapeless force that performs simple tasks at your command until the spell ends. The servant springs into existence in an unoccupied space on the ground within range. It has AC 101 hit pointand a Strength of 2and it can't attack. If it drops to 0 hit pointsthe spell ends. Once on each of your turns as a bonus actionyou can mentally command the servant to move up to 15 feet and inteact with an object. The servant can perform simple tasks that a human servant could dosuch as fetching thingscleaningmendingfolding clotheslighting firesserving foodand pouring wine. Once yougive the commandthe servant performs the task to the best of its ability until it completes the taskthen waits for your next command. If you command the servant to perform a task that would move it more than 60 feet away from youthe spell ends.,Bard
2,Animal Messenger (Ritual),1 action,30 feet,VSM ,24 hours,(a morsel of food) By means of this spellyou use an animal to deliver a message. Choose a Tiny beast you can see within rangesuch as a squirrela blue rayor a bad. You specify a locationwhich you must have visitedand a recipient who matches a general descriptionsuch as a man or woman dressed in the uniform of the town guard or a red-haired dwarf wearing a pointed hat. You also speak a message of up to twenty-five words. The target beast travels fo rhte duration of the spell towards the specified locationcovering about 50 miles per 24 hours for a flying messenger or 25 miles for other animals. When the messenger arrivesit delivers your message to the creature that you describedreplicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn't reach its destination before the spell endsthe message is lostand the beast makes it way back to where you cast this spell. At Higher Levels. If you cast this spell using a spell slot of 3rd level or higherthe duration of the spell increases by 48 hours for each slot level above 2nd.,Bard
2,Blindness/Deafness,1 action,30 feet,V,1 minute, You can blind or deafen a foe. Choose one creature that you can see within range to make a Constitution saving throw. If it failsthe target is either blinded or deafened (your choice) for the duration. At the end of each of its turnsthe target can make a Constitution saving throw. On a successthe spell ends. At Higher Levels. When you cast this spell using a spell slot of 3rd or higheryou can taget one additiona creature for each slot level above 2nd.,Bard
2,Calm Emotions,1 action,60 feet,VS,Concentrationup to 1 minute, You attempt to suppress strong emotions in a group of people. Each humanoid in a 20-foot-radius sphere centered on a point you choose within range must make a Charisma saving throw  a creature can choose to fail this saving throw if it wishes. If a creature fails its saving throwchoose one of the following two effects. You can suppress any effect causing a target to be charmed or frightened. When this spell endsany suppressed effect resumesprovided that its duration has not expired in the meantime. Alternativelyyou can make a target indifferent about creatures of your choice that it is hostile toward. This indifference ends if the target is attacked or harmed by a spell or if it witnesses any of its friends being harmed. When the spell endsthe creature becomes hostile againunless the DM rules otherwise.,Bard
2,Cloud of Daggers,1 action,60 feet,VSM ,Concentrationup to 1 minute,(a sliver of glass) You fill the air with spinning daggers in a cube 5 feet on each sidecentered on a point you choose within range. A creature takes 4d4 slashing damage when it enters the spell's area for the first time on a turn or starts its turn there. At Higher Levels. when you cast this spell using a spell slot of 3rd level or higherthe damage increases by 2d4 for each slot level above 2nd.,Bard
2,Crown of Madness,1 action,120 feet,VS,Concentrationup to 1 minute, One humanoid of your choice that you can see within range must succeed on a W isdom saving throw or become charmed by you for the duration. While the target is charmed in this waya twisted crown of jagged iron appears on its headand a madness glows in its eyes. The charmed target must use its action before moving on each of its turns to make a melee attack against a creature other than itself that you mentally choose. The target can act normally on its turn if you choose no creature or if none are within its reach. On your subsequent turnsyou must use your action to maintain control over the targetor the spell ends. Alsothe target can make a Wisdom saving throw at the end of each of its turns. On a successthe spell ends.,Bard
