level,name,duration,range,component,cast_time,desc,class
0,Guidance,1 action,Touch,VS,Concentrationup to 1 minute, You touch one willing creature. Once before the spell endsthe target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.,Cleric
0,Light,1 action,Touch,VM ,1 hour,(a firefly or phosphorescent moss) You touch one object that is no larger than 10 feet in any dimension. Until the spell endsthe object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light cant be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action. If you target an object held or worn by a hostile creaturethat creature must succeed on a Dexterity saving throw to avoid the spell.,Cleric
0,Mending,1 minute,Touch,VSM ,Instantaneous,(two lodestones) This spell repairs a single break or tear in an object you touchsuch as broken chain linktwo halves of a broken keya torn cloackor a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimensionyou mend itleaving no trace of the former damage. This spell can physically repair a magic item or constructbut the spell can't restore magic to such an object.,Cleric
0,Resistance,1 action,Touch,VSM ,Concentrationup to 1 minute,You touch one willing creature. Once before the spell endsthe target can roll a d4 and add the number rolled to one saving throw of its choice. It can roll the die before or after the saving throw. The spell then ends.,Cleric
0,Sacred Flame,1 action,60 feet,VS,Instantaneous, Flame-like radiance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or take 1d8 radiant damage. The target gains no benefit from cover for this saving throw. The spell's damage increases by 1d8 when you reach 5th level (2d8)11th level (3d8)and 17th level (4d8).,Cleric
0,Spare the Dying,1 action,Touch,VS,Instantaneous, You touch a living creature that has 0 hit points. The creature becomes stable. This spell has no effect on undead or constructs.,Cleric
0,Thaumaturgy,1 action,30 feet,V,Up to 1 minute, You manifest a minor wondera sign of supernatural powerwithin range. You create one of the following magical effects within range: * Your voice booms up to three times as loud as normal for 1 minute. * You cause flames to flickerbrightendimor change color for 1 minute. * You cause harmless tremors in the ground for 1 minute. * You create an instantaneous sound that originates from a point of your choice within rangesuch as a rumble of thunderthe cry of a ravenor ominous whispers. * You instantaneously cause an unlocked door or window to fly open or slam shut. * You alter the appearance of your eyes for 1 minute. If you cast this spell multiple timesyou can have up to three of its 1-minute effects active at a timeand you can dismiss such an effect as an action.,Cleric
1,Bane,1 action,30 feet,VSM ,Concentrationup to 1 minute,(a drop of blood) Up to three creatures of your choice that you can see within range must make Charisma saving throws. Whener a target that fails this saving throw makes an attack roll or a saving throw before the spell endsthe target must roll a d4 and subtract the number rolled from the attack roll or saving throw. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can target one aditional creature for each slot level above 1st.,Cleric
1,Bless,1 action,30 feet,VSM ,Concentrationup to 1 minute,(a sprinkling of holy water) You bless up to three creatures of your choice within range. Whenever a target makes an attack roll or a saving throw before the spell endsthe target can roll a d4 and add the number rolled to the attack roll or saving throw. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can target one additional creature for each slot level above 1st.,Cleric
1,Command,1 action,60 feet,V,1 round, You speak a one-word command to a creature you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. The spell has no effect if the target is undeadif it doesn’t understand your languageor if your command is directly harmful to it.  Some typical commands and their effects follow. You might issue a command other than one described here. If you do sothe DM determines how the target behaves. If the target can’t follow your commandthe spell ends.  Approach. The target moves toward you by the shortest and most direct routeending its turn if it moves within 5 feet of you.  Drop. The target drops whatever it is holding and then ends its turn.  Flee. The target spends its turn moving away from you by the fastest available means.  Grovel. The target falls prone and then ends its turn.  Halt. The target doesn’t move and takes no actions. A flying creature stays aloftprovided that it is able to do so. If it must move to stay aloftit flies the minimum distance needed to remain in the air.  At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can affect one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.,Cleric
1,Create or Destroy Water,1 action,30 feet,VSM ,Instantaneous,(a drop of water if creating water or a few grains of sand if destroying it) You either create or destroy water. Create Water. You create up to 10 gallons of clean water within range in an open container. Alternativelythe water falls as rain in a 30-foot cube within rangeextinguishing exposed flames in the area. Destroy Water. You destroy up to 10 gallons of water in an open container within range. Alternativelyyou destroy fog in a 30-foot cube within range. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou create or destroy 10 additional gallons of wateror the size of the cube increases by 5 feetfor each slot level above 1st.,Cleric
1,Cure Wounds,1 action,Touch,VS,Instantaneous, A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe healing increases by 1d8 for each slot level above 1st.,Cleric
1,Detect Evil and Good,1 action,Self,VS,Concentrationup to 10 minutes, For the durationyou know if there is an aberrationcelestialelementalfeyfiendor undead within 30 feet of youas well as where the creature is located. Similarlyyou know if there is a place of object within 30 feet of you that has been magically consecrated or desecrated. The spell can penetrate most barriersbut it is blocked by 1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood or dirt.,Cleric
1,Detect Magic (Ritual),1 action,Self,VS,Concentrationup to 10 minutes, For the durationyou sense the presence of magic within 30 feet of you. If you sense magic in this wayyou can use your action to see a faint aura around any visible creature or object in the area that bears magicand you learn its school of magicif any. The spell can penetrate most barriersbut is blocked by 1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood or dirt.,Cleric
1,Detect Poison and Disease,1 action,Self,VSM ,Concentrationup to 10 minutes,(a yew leaf) For the durationyou can sense the presence and location of poisonspoisonous creaturesand diseases within 30 feet of you. You also identify the kind of poisonpoisonous creatureor disease in each case. The spell can penetrate most barriersbut is blocked by 1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood or dirt.,Cleric
1,Guiding Bolt,1 action,120 feet,VS,1 round, A flash of light streaks toward a creature of your choice within range. Make a ranged spell attack against the target. On a hitthe target takes 4d6 radiant damageand the next attack roll made against this target before the end of your next turn has advantagethanks to the mystical dim light glittering on the target until then. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe damage increases by 1d6 for each slot level above 1st.,Cleric
1,Healing Word,1 bonus action,60 feet,V,Instantaneous, A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on unddead or constructs. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe healing increases by 1d4 for each slot level above 1st.,Cleric
1,Inflict Wounds,1 action,Touch,VS,Instantaneous, Make a melee spell attack against a creature you can reach. On a hitthe target takes 3d10 necrotic damage. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe damage increases by 1d10 for each slot level above 1st.,Cleric
1,Protection from Evil and Good,1 action,Touch,VSM ,Concentrationup to 10 minutes,(holy water or powdered silver and ironwhich the spell consumes) Until the spell endsone willing creature you touch is protected against certain types of creatures: aberrationscelestialselementalsfeyfiendsand undead. The protection grants several benefits. Creatures of those types have disadvantage on attack rolls against the target. The target also can't be charmedfrightenedor possessed by them. If the target is already charmedfrightenedor possessed by such a creaturethe target has advantage on any new saving throw against the relevant effect.,Cleric
1,Purify Food and Drink (Ritual),1 action,10 feet,VS,Instantaneous, All nonmagical food and drink withi na 5-foot-radius sphere centered on a point of your choice within range is purified and rendered free of poison and disease.,Cleric
