level,name,duration,range,component,cast_time,desc,class
0,Druidcraft,1 action,30 feet,VS,Instantaneous, Whispering to the spirits of natureyou create one of the following effects within range: ? You create a tinyharmless sensory effect that predicts what the weather will be at your location for the next 24 hours. The effect might manifest as a golden orb for clear skiesa cloud for rainfalling snowflakes for snowand so on. This effect persists for 1 round. ? You instantly make a flower blossoma seed pod openor a leaf bud bloom. ? You create an instantaneousharmless sensory effectsuch as falling leavesa puff of windthe sound of a small animalor the faint odor of skunk. The effect must fit in a 5-foot cube. ? You instantly light or snuff out a candlea torchor a small campfire. ,Druid
0,Guidance,1 action,Touch,VS,Concentrationup to 1 minute, You touch one willing creature. Once before the spell endsthe target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.,Druid
0,Mending,1 minute,Touch,VSM ,Instantaneous,(two lodestones) This spell repairs a single break or tear in an object you touchsuch as broken chain linktwo halves of a broken keya torn cloackor a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimensionyou mend itleaving no trace of the former damage. This spell can physically repair a magic item or constructbut the spell can't restore magic to such an object.,Druid
0,Poison Spray,1 action,10 feet,VS,Instantaneous, You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage. This spell's damage increases by 1d12 when you reach 5th level (2d12)11th level (3d12)and 17th level (4d12).,Druid
0,Produce Flame,1 action,Self,VS,10 minutes, A flickering flame appears in your hand. The flame remains there for the duration and harms neither you nor your equipment. The flame sheds bright light in a 10-foot radius and dim light for an additional 10 feet. The spell ends if you dismiss it as an action or if you cast it again. You can also attack with the flamealthough doing so ends the spell. When you cast this spellor as an action on a later turnyou can hurl the flame at a creature within 30 feet of you. Make a ranged spell attack. On a hitthe target takes 1d8 fire damage. This spell's damage increases by 1d8 when you reach 5th level (2d8)11th level (3d8)and 17th level (4d8).,Druid
0,Resistance,1 action,Touch,VSM ,Concentrationup to 1 minute,(a miniature cloak) You touch one willing creature. Once before the spell endsthe target can roll a d4 and add the number rolled to one saving throw of its choice. It can roll the die before or after the saving throw. The spell then ends.,Druid
0,Shillelagh,1 bonus action,Touch,VSM ,1 minute,The wood of a club or quarterstaff you are holding is imbued with nature's power. For the durationyou can use your spellcasting ability instead of Strength for the attack and damage rolls of melee attacks using that weaponand the weapon's damage die becomes a d8. The weapon also becomes magicalif it isn't already. The spell ends if you cast it again or if you let go of the weapon,Druid
0,Thorn Whip,1 action,30 feet,VSM ,Instantaneous,You create a longvine-like whip covered in thorns that lashes out at your command toward a creature in range. Make a melee spell attack against the target. If the attack hitsthe creature takes 1d6 piercing damageand if the creature is Large or smalleryou pull the creature up to 10 feet closer to you. This spell's damage increases by 1d6 when you reach 5th level (2d6)11th level (3d6)and 17th level (4d6).,Druid
1,Animal Friendship,1 action,30 feet,VSM ,24 hours,(a morsel of food) This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higherthe spell fails. Otherwisethe beast must succeed on a Wisdom saving throw or be charmed by you fo rhte spell's duration. If you or one of your companions harms the targetthe spell ends. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can affect one additional beast for each slot level above 1st.,Druid
1,Charm Person,1 action,30 feet,VS,1 hour, You attempt to charm a humanoid you can see within range. It must make a Wisdom saving throwand does so with advantage if you or your companions are fighting it. If it fails the saving throwit is charmed by you until the spell ends or until you  or your companions do anything harmful to it.The charmed creature regards you as a friendly acquaintance. When the spell endsthe creature knows it was charmed by you. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can target one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.,Druid
