level,name,duration,range,component,cast_time,desc,class
1,Bless,1 action,30 feet,VSM ,Concentrationup to 1 minute,(a sprinkling of holy water) You bless up to three creatures of your choice within range. Whenever a target makes an attack roll or a saving throw before the spell endsthe target can roll a d4 and add the number rolled to the attack roll or saving throw. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can target one additional creature for each slot level above 1st.,Paladin
1,Command,1 action,60 feet,V,1 round, You speak a one-word command to a creature you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. The spell has no effect if the target is undeadif it doesn't understand your languageor if your command is directly harmful to it.  Some typical commands and their effects follow. You might issue a command other than one described here. If you do sothe DM determines how the target behaves. If the target can't follow your commandthe spell ends.  Approach. The target moves toward you by the shortest and most direct routeending its turn if it moves within 5 feet of you.  Drop. The target drops whatever it is holding and then ends its turn.  Flee. The target spends its turn moving away from you by the fastest available means.  Grovel. The target falls prone and then ends its turn.  Halt. The target doesn't move and takes no actions. A flying creature stays aloftprovided that it is able to do so. If it must move to stay aloftit flies the minimum distance needed to remain in the air.  At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can affect one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.,Paladin
1,Compelled Duel,1 bonus action,30 feet,V,Concentrationup to 1 minute, You attempt to compel a creature into a duel. One creature that you can see within range must make a Wisdom saving throw. On a failed savethe creature is drawn to youcompelled by your divine demand. For the durationit has disadvantage on attack rolls against creatures other than youand must make a Wisdom saving throw each time it attempts to move to a space that is more than 30 feet away from youif it succeeds on this saving throwthis spell doesn't restrict the target's movement for that turn. The spell ends if you attack any other creatureif you cast a spell that targets a hostile creature other than the targetif a creature friendly to you damages the target or casts a harmful spell on itor if you end your turn more than 30 feet away from the target.,Paladin
1,Cure Wounds,1 action,Touch,VS,Instantaneous, A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe healing increases by 1d8 for each slot level above 1st.,Paladin
1,Detect Evil and Good,1 action,Self,VS,Concentrationup to 10 minutes, For the durationyou know if there is an aberrationcelestialelementalfeyfiendor undead within 30 feet of youas well as where the creature is located. Similarlyyou know if there is a place of object within 30 feet of you that has been magically consecrated or desecrated. The spell can penetrate most barriersbut it is blocked by 1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood or dirt.,Paladin
1,Detect Magic (Ritual),1 action,Self,VS,Concentrationup to 10 minutes, For the durationyou sense the presence of magic within 30 feet of you. If you sense magic in this wayyou can use your action to see a faint aura around any visible creature or object in the area that bears magicand you learn its school of magicif any. The spell can penetrate most barriersbut is blocked by 1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood or dirt.,Paladin
1,Detect Poison and Disease,1 action,Self,VSM ,Concentrationup to 10 minutes,(a yew leaf) For the durationyou can sense the presence and location of poisonspoisonous creaturesand diseases within 30 feet of you. You also identify the kind of poisonpoisonous creatureor disease in each case. The spell can penetrate most barriersbut is blocked by 1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood or dirt.,Paladin
1,Divine Favor,1 bonus action,Self,VS,Concentrationup to 1 minute, Your prayer empowers you with divine radiance. Until the spell endsyour weapon attacks deal and extra 1d4 radiant damage on a hit.,Paladin
1,Heroism,1 action,Touch,VS,Concentrationup to 1 minute, A willing creature you touch is imbued with bravery. Until the spell endsthe creature is immune to being frightened and gains temporary hit points equal to your spellcasting ability modifier at the start of each of its turns. When the spell endsthe target loses any remaining temporary hit points from this spell. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can target one additional creature for each slot level above 1st.,Paladin
1,Protection from Evil and Good,1 action,Touch,VSM ,Concentrationup to 10 minutes,(holy water or powdered silver and ironwhich the spell consumes) Until the spell endsone willing creature you touch is protected against certain types of creatures: aberrationscelestialselementalsfeyfiendsand undead. The protection grants several benefits. Creatures of those types have disadvantage on attack rolls against the target. The target also can't be charmedfrightenedor possessed by them. If the target is already charmedfrightenedor possessed by such a creaturethe target has advantage on any new saving throw against the relevant effect.,Paladin
