level,name,cast_time,range,component,duration,desc,class
2,Locate Animals or Plants (Ritual),1 action,Self,VSM ,Instantaneous,(a bit of fur from a bloodhound) Describe or name a specific kind of beast or plant. Concentrating on the voice of nature in your surroundingsyou learn the direction and distance to the closest creature or plant of that kind within 5 milesif any are present.,Ranger
1,Alarm (Ritual),1 minute,30 feet,VSM ,8 hours,(a tiny bell and a piece of fine silver wire) You set an alarm against unwanted intrusion. Choose a doora windowor an area within range that is no larger than a 20-foot cube. Until the spell endsan alarm alerts you whenever a tiny or larger creature touches or enters the warded area. When you cast the spell,Ranger
1,Animal Friendship,1 action,30 feet,VSM ,24 hours,(a morsel of food) This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higherthe spell fails. Otherwisethe beast must succeed on a Wisdom saving throw or be charmed by you fo rhte spell's duration. If you or one of your companions harms the targetthe spell ends. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can affect one additional beast for each slot level above 1st.,Ranger
1,Cure Wounds,1 action,Touch,VS,Instantaneous, A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe healing increases by 1d8 for each slot level above 1st.,Ranger
1,Detect Magic (Ritual),1 action,Self,VS,Concentrationup to 10 minutes, For the durationyou sense the presence of magic within 30 feet of you. If you sense magic in this wayyou can use your action to see a faint aura around any visible creature or object in the area that bears magicand you learn its school of magicif any. The spell can penetrate most barriersbut is blocked by 1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood or dirt.,Ranger
1,Detect Poison and Disease,1 action,Self,VSM ,Concentrationup to 10 minutes,(a yew leaf) For the durationyou can sense the presence and location of poisonspoisonous creaturesand diseases within 30 feet of you. You also identify the kind of poisonpoisonous creatureor disease in each case. The spell can penetrate most barriersbut is blocked by 1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood or dirt.,Ranger
1,Ensnaring Strike,1 bonus action,Self,V,Concentrationup to 1 minute, The next time you hit a creature with a weapon attack before this spell endsa writhing mass of thorny vines appears at the point of impactand the target must succeed on a Strength saving throw or be restrained by the magical vines until the spell ends. A Large or larger creature has advantage on this saving throw. If the target succeeds on the savethe vines shrivel away. While restrained by this spellthe target takes 1d6 piercing damage at the start of each of its turns. A creature restrained by the vines or one that can touch the creature can use its action to make a Strength check against your spell save DC. On a successthe target is freed. At Higher Levels. If you cast this spell using a spell slot of 2nd level or higherthe damage increases by 1d6 for each slot level above 1st.,Ranger
1,Fog Cloud,1 action,120 feet,VS,Concentrationup to 1 hour, You create a 20-foot-radius sphere of fog centered on a point within range. The sphere spreads around cornersand its area is heavily obscuredIt lasts for the duration or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe radius of the fog increases by 20 feet for each slot level above 1st.,Ranger
1,Goodberry,1 action,Touch,VSM ,Instantaneous,(a sprig of mistletoe) Up to ten berries appear in your hand and are infused with magic for the duration. A creature can use its action to eat one berry. Eating a berry restores 1 hit pointand the berry provides enough nourishment to sustain a creature for one day. The berries lose their potency if they have not been consumed within 24 hours of the casting of this spell.,Ranger
1,Hail of Thorns,1 bonus action,Self,V,Concentrationup to 1 minute, The next time you hit a creature with a ranged weapon attack before the spell endsthis spell creates a rain of thorns that sprouts from your ranged weapon or ammunition. In addition to the normal effect of the attackthe target of the attack and each creature within 5 feet of it must make a Dexterity saving throw. A creature takes 1d10 piercing damage on a failed saveor half as much damage on a successful one. At Higher Levels. If you cast this spell using a spell slot of 2nd level or higherthe damage increases by 1d10 for each slot level above 1st (to a maximum of 6d10).,Ranger
