level,name,duration,range,component,cast_time,desc,class
0,Acid Splash,1 action,60 feet,VS,Instantaneous, You hurl a bubble of acid. Choose one creature within rangeor choose two creatures within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.  This spells damage increases by 1d6 when you reach 5th level (2d6)11th level (3d6) and 17th level (4d6).,Wizard
0,Blade Ward,1 action,Self,VS,1 round, You extend your hand and trace a sigil of warding in the air. Until the end of your next turnyou have resistance against bludgeoningpiercingand slashing damage dealt by weapon attacks.,Wizard
0,Chill Touch,1 action,120 feet,VS,1 round, You create a ghostlyskeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hitthe target takes 1d8 necrotic damageand it can't regain hit points until the start of your next turn. Until thenthe hand clings to the target. If you hit an undead targetit also has disadvantage on attack rolls against you until the end of your next turn. This spell's damage increases by 1d8 when you reach 5th level (2d8)11th level (3d8)and 17th level (4d8).,Wizard
0,Dancing Lights,1 action,120 feet,VSM ,Concentrationup to 1 minute,(a bit of phosphorous or wychwoodor a glowworm) You create up to four torch-sized lights within rangemaking them appear as torcheslanternsor glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you chooseeach light sheds dim light in a 10-foot radius. As a bonus action on your turnyou can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spelland a light winks out if it exceeds the spell's range.,Wizard
0,Fire Bolt,1 action,120 feet,VS,Instantaneous, You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hitthe target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn't being worn or carried. This spell's damage increases by 1d10 when you reach 5th level (2d10)11th level (3d10)and 17th level (4d10).,Wizard
0,Friends,1 action,Self,SM ,Concentrationup to 1 minute,(a small amount of makeup applied to the face as this spell is cast) For the durationyou have advantage on all Charisma checks directed at one creature of your choice that isn't hostile toward you. When the spell endsthe creature realizes that you used magic to influence its mood and becomes hostile toward you. A creature prone to violence might attack you. Another creature might seek retribution in other ways (at the DM's discretion)depending on the nature of your interaction with it.,Wizard
0,Light,1 action,Touch,VM ,1 hour,(a firefly or phosphorescent moss) You touch one object that is no larger than 10 feet in any dimension. Until the spell endsthe object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light cant be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action. If you target an object held or worn by a hostile creaturethat creature must succeed on a Dexterity saving throw to avoid the spell.,Wizard
0,Mage Hand,1 action,30 feet,VS,1 minute, A spectralfloatin hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again. You can use your action to control the hand. You can use the hand to manipulate an objectopen an unlocked foor or containerstow or retrieve an item from an open containeror pour the contents out of a vial. You can move the hand up to 30 feet each time you use it. The hand can't attackactivate magical itemsor carry more than 10 pounds.,Wizard
0,Mending,1 minute,Touch,VSM ,Instantaneous,(two lodestones) This spell repairs a single break or tear in an object you touchsuch as broken chain linktwo halves of a broken keya torn cloackor a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimensionyou mend itleaving no trace of the former damage. This spell can physically repair a magic item or constructbut the spell can't restore magic to such an object.,Wizard
0,Message,1 action,120 feet,VSM ,1 round,(a short piece of copper wire) You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear. You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood blocks the spell. The spell doesn't have to follow a straight line and can travel freely around corners or through openings.,Wizard
0,Minor Illusion,1 action,30 feet,SM ,1 minute,(a bit of fleece) You create a sound or an image of an object within range that lasts for the duration. The illusion also ends if you dismiss it as an action or cast this spell again. If you create a soundits volume can range from a whisper to a scream. It can be your voicesomeone else's voicea lion's roara beating of drumsor any other sound you choose. The sound continues unabated throughout the durationor you can make discrete sounds at different times before the spell ends. If you create an image of an object??uch as a chairmuddy footprintsor a small chest??t must be no larger than a 5-foot cube. The image can't create soundlightsmellor any other sensory effect. Physical interaction with the image reveals it to be an illusionbecause things can pass through it. If a creature uses its action to examine the sound or imagethe creature can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it isthe illusion becomes faint to the creature.,Wizard
0,Poison Spray,1 action,10 feet,VS,Instantaneous, You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage. This spell's damage increases by 1d12 when you reach 5th level (2d12)11th level (3d12)and 17th level (4d12).,Wizard
0,Prestidigitation,1 action,10 feet,VS,Up to 1 hour, This spell is a minor magical trick that novice spellcasters use for practice. You create one of the following magical effects within range: <br>-You create an instantaneousharmless sensory effectsuch as a shower of sparksa puff of windfaint musical notesor an odd odor. <br>-You instantaneously light or snuff out a candlea torchor a small campfire. <br>-You instantaneously clean or soil an object no larger than 1 cubic foot. <br>-You chillwarmor flavor up to 1 cubic foot of nonliving material for 1 hour. <br>-You make a colora small markor a symbol appear on an object or a surface for 1 hour. <br>-You create a nonmagical trinket or an illusory image that can fit in your hand and that lasts until the end of your next turn. If you cast this spell multiple timesyou can have up to three of its non-instantaneous effects active at a timeand you can dismiss such an effect as an action.,Wizard
